=== SERIES 1 ===
100us;48336
200us;65194
500us;115568
1000us;199575
5000us;871605
10000us;1711616
100us;66388
200us;98771
500us;200799
1000us;367567
5000us;1712878
10000us;3391864
100us;81936
200us;132356
500us;283572
1000us;535586
5000us;2551636
10000us;5071635
100us;99988
200us;165989
500us;368791
1000us;703601
5000us;3393126
10000us;6751635
100us;116791
200us;202022
500us;451587
1000us;872867
5000us;4231635
10000us;8431864
100us;133550
200us;233136
500us;536810
1000us;1039586
5000us;5072897
10000us;10111636
100us;149405
200us;267029
500us;619587
1000us;1207586
5000us;5911864
10000us;11791635
100us;167183
200us;300356
500us;704825
1000us;1375571
5000us;6752897
10000us;13471864
100us;182786
200us;334021
500us;787851
1000us;1543616
5000us;7591635
10000us;15151639
100us;203216
200us;370014
500us;874091
1000us;1714140
5000us;8433126
10000us;16831635
100us;216357
200us;401156
500us;955588
1000us;1879572
5000us;9271635
10000us;18511864
100us;234330
200us;434772
500us;1040810
1000us;2047582
5000us;10112898
10000us;20191635
100us;249957
200us;468336
500us;1123587
1000us;2215586
5000us;10951864
10000us;21871635
100us;268246
200us;502009
500us;1208810
1000us;2383849
5000us;11792897
10000us;23551864
100us;284795
200us;538033
500us;1291836
1000us;2552898
5000us;12631643
10000us;25231635
100us;301550
200us;569141
500us;1376795
1000us;2719613
5000us;13473126
10000us;26911635
100us;317141
200us;602771
500us;1459592
1000us;2887834
5000us;14311635
10000us;28591864
100us;335215
200us;636356
500us;1544840
1000us;3055605
5000us;15152901
10000us;30271635
100us;350766
200us;670006
500us;1627617
1000us;3223643
5000us;15991864
10000us;31951635
100us;371208
200us;706048
500us;1715364
1000us;3394388
5000us;16832897
10000us;33631864
100us;384605
200us;737156
500us;1795836
1000us;3559605
5000us;17671636
10000us;35311635
100us;402350
200us;770751
500us;1880796
1000us;3727582
5000us;18513126
10000us;36991636
100us;417956
200us;804357
500us;1963587
1000us;3895834
5000us;19351636
10000us;38671864
100us;435989
200us;838022
500us;2048806
1000us;4063620
5000us;20192897
10000us;40351635
100us;452810
200us;875314
500us;2131587
1000us;4232897
5000us;21031864
10000us;42031635
100us;469530
200us;905156
500us;2216810
1000us;4399834
5000us;21872897
10000us;43711864
100us;485405
200us;938772
500us;2299586
1000us;4567605
5000us;22711636
10000us;45391635
100us;503203
200us;972341
500us;2385073
1000us;4735605
5000us;23553126
10000us;47071636
100us;518787
200us;1006009
500us;2467581
1000us;4903864
5000us;24391636
10000us;48751864
100us;539227
200us;1042033
500us;2554122
1000us;5074159
5000us;25232897
10000us;50431635
100us;552356
200us;1073150
500us;2635587
1000us;5239605
5000us;26071864
10000us;52111635
100us;570335
200us;1106771
500us;2720837
1000us;5407834
5000us;26912897
10000us;53791864
100us;586205
200us;1140356
500us;2803586
1000us;5575605
5000us;27751643
10000us;55471635
100us;603988
200us;1174006
500us;2889058
1000us;5743620
5000us;28593126
10000us;57151636
100us;620810
200us;1210033
500us;2971572
1000us;5913126
5000us;29431636
10000us;58831864
100us;637550
200us;1241157
500us;3056829
1000us;6079605
5000us;30272897
10000us;60511636
100us;653156
200us;1274756
500us;3139587
1000us;6247613
5000us;31111864
10000us;62191635
100us;671200
200us;1308365
500us;3224867
1000us;6415834
5000us;31952897
10000us;63871864
100us;687035
