100us;43703
200us;60570
500us;111016
1000us;195000
5000us;867030
10000us;1707264
100us;68944
200us;94185
500us;203415
1000us;363000
5000us;1715708
10000us;3387029
100us;77338
200us;127828
500us;280934
1000us;531000
5000us;2547029
10000us;5067029
100us;102585
200us;161713
500us;371415
1000us;699015
5000us;3395809
10000us;6747029
100us;119428
200us;211826
500us;448933
1000us;875459
5000us;4227029
10000us;8427029
100us;136203
200us;255675
500us;539415
1000us;1035081
5000us;5075809
10000us;10107029
100us;144597
200us;272504
500us;616927
1000us;1203000
5000us;5907029
10000us;11787029
100us;170086
200us;297744
500us;707428
1000us;1371000
5000us;6755809
10000us;13467029
100us;178511
200us;329713
500us;784969
1000us;1539030
5000us;7587029
10000us;15147029
100us;220735
200us;379826
500us;883874
1000us;1724137
5000us;8435809
10000us;16827029
100us;228771
200us;423674
500us;963049
1000us;1901589
5000us;9267029
10000us;18507029
100us;237358
200us;440503
500us;1043495
1000us;2042015
5000us;10115809
10000us;20187029
100us;245944
200us;465744
500us;1121009
1000us;2210999
5000us;10947029
10000us;21867029
100us;264090
200us;497713
500us;1211415
1000us;2379014
5000us;11795809
10000us;23547029
100us;289344
200us;547826
500us;1288934
1000us;2555795
5000us;12627029
10000us;25227029
100us;306119
200us;591669
500us;1379415
1000us;2715091
5000us;13475809
10000us;26907029
100us;314514
200us;608497
500us;1456933
1000us;2882999
5000us;14307029
10000us;28587029
100us;338086
200us;633737
500us;1547444
1000us;3050999
5000us;15155809
10000us;30267029
100us;346511
200us;665713
500us;1624987
1000us;3219029
5000us;15987029
10000us;31947029
100us;388735
200us;715839
500us;1732550
1000us;3404239
5000us;16835809
10000us;33627029
100us;396777
200us;759694
500us;1838781
1000us;3573112
5000us;17667029
10000us;35307029
100us;405363
200us;776524
500us;1910004
1000us;3723814
5000us;18515809
10000us;36987029
100us;413949
200us;801780
500us;1972205
1000us;3890999
5000us;19347029
10000us;38667029
100us;432088
200us;833728
500us;2050757
1000us;4059014
5000us;20195809
10000us;40347029
100us;457344
200us;892285
500us;2128272
1000us;4235795
5000us;21027029
10000us;42027029
100us;474119
200us;945241
500us;2219746
1000us;4395091
5000us;21875809
10000us;43707029
100us;482514
200us;953278
500us;2297269
1000us;4562999
5000us;22707029
10000us;45387029
100us;506086
200us;998330
500us;2387761
1000us;4730999
5000us;23555809
10000us;47067029
100us;514511
200us;1015487
500us;2465290
1000us;4899029
5000us;24387029
10000us;48747029
100us;556735
200us;1051906
500us;2564209
1000us;5084239
5000us;25235809
10000us;50427029
100us;564771
200us;1095749
500us;2643399
1000us;5253126
5000us;26067029
10000us;52107029
100us;573358
200us;1112578
500us;2723838
1000us;5403849
5000us;26915809
10000us;53787029
100us;581944
200us;1137820
500us;2801358
1000us;5570999
5000us;27747029
10000us;55467029
100us;600083
200us;1169713
500us;2891746
1000us;5739014
5000us;28595809
10000us;57147029
100us;625338
200us;1219826
500us;2969266
1000us;5915795
5000us;29427029
10000us;58827029
100us;642112
200us;1263675
500us;3059746
1000us;6075091
5000us;30275809
10000us;60507029
100us;650506
200us;1280504
500us;3137261
1000us;6242999
5000us;31107029
10000us;62187029
100us;674086
200us;1305744
500us;3227776
1000us;6410999
5000us;31955809
10000us;63867029
100us;682511
200us;1337713
500us;3305331
1000us;6579029
5000us;32787029
10000us;65547029
100us;724748
200us;1387826
500us;3412654
1000us;6764239
5000us;33635809
10000us;67227029
100us;732785
200us;1431674
500us;3518887
1000us;6933124
5000us;34467029
10000us;68907029
100us;741377
200us;1448503
500us;3581526
1000us;7083845
5000us;35315809
10000us;70587029
100us;749969
200us;1473744
500us;3652313
1000us;7250999
5000us;36147029
10000us;72267029
100us;768109
200us;1505713
500us;3732562
1000us;7419014
5000us;36995809
10000us;73947029
100us;793380
200us;1555856
500us;3810091
1000us;7595795
5000us;37827029
10000us;75627029
100us;810155
200us;1599700
500us;3899746
1000us;7755091
5000us;38675809
10000us;77307029
100us;818550
200us;1616527
500us;3977261
1000us;7922999
5000us;39507029
10000us;78987029
100us;842102
200us;1641797
500us;4067761
1000us;8090999
5000us;40355809
10000us;80667029
100us;850541
200us;1673743
500us;4145293
1000us;8259029
5000us;41187029
10000us;82347029
100us;901194
200us;1741471
500us;4244209
1000us;8444239
5000us;42035809
10000us;84027029
100us;909231
200us;1749507
500us;4323393
1000us;8613109
5000us;42867029
10000us;85707029
100us;917817
200us;1820974
500us;4403838
1000us;8763810
5000us;43715809
10000us;87387029
100us;926403
200us;1829010
500us;4481358
1000us;8930999
5000us;44547029
10000us;89067029
100us;934990
200us;1883767
500us;4571746
1000us;9099014
5000us;45395809
10000us;90747029
100us;971976
200us;1891804
500us;4649261
1000us;9275795
5000us;46227029
10000us;92427029
100us;980012
200us;1954391
500us;4739746
1000us;9435091
5000us;47075809
10000us;94107029
100us;988604
200us;1962428
500us;4817269
1000us;9602999
5000us;47907029
10000us;95787029
100us;1007057
200us;2007986
500us;4907776
1000us;9770999
5000us;48755809
10000us;97467029
100us;1023916
200us;2025148
500us;4985322
1000us;9939029
5000us;49587029
10000us;99147029
100us;1060814
200us;2059169
500us;5092654
1000us;10124239
5000us;50435809
10000us;100827029
100us;1068850
200us;2103012
500us;5198885
1000us;10293128
5000us;51267029
10000us;102507029
100us;1077436
200us;2119841
500us;5261540
1000us;10443849
5000us;52115809
10000us;104187029
100us;1086023
200us;2145083
500us;5332318
1000us;10610999
5000us;52947029
10000us;105867029
100us;1104163
200us;2177399
500us;5412597
1000us;10779014
5000us;53795809
10000us;107547029
100us;1129420
200us;2228156
500us;5490112
1000us;10955795
5000us;54627029
10000us;109227029
100us;1146195
200us;2272011
500us;5579746
1000us;11115091
5000us;55475809
10000us;110907029
100us;1154589
200us;2288839
500us;5657266
1000us;11282999
5000us;56307029
10000us;112587029
100us;1178086
200us;2314081
500us;5747761
1000us;11450999
5000us;57155809
10000us;114267029
100us;1186511
200us;2345399
500us;5825299
1000us;11619029
5000us;57987029
10000us;115947029
100us;1228735
200us;2396172
500us;5924209
1000us;11804239
5000us;58835809
10000us;117627029
100us;1236771
200us;2440015
500us;6003399
1000us;11973112
5000us;59667029
10000us;119307029
100us;1245358
200us;2456845
500us;6083838
1000us;12123814
5000us;60515809
10000us;120987029
100us;1253944
200us;2482101
500us;6161353
1000us;12290999
5000us;61347029
10000us;122667029
100us;1272090
200us;2513414
500us;6251746
1000us;12459014
5000us;62195809
10000us;124347029
100us;1297344
200us;2572621
500us;6329269
1000us;12635795
5000us;63027029
10000us;126027029
100us;1314119
200us;2625591
500us;6419746
1000us;12795091
5000us;63875809
10000us;127707029
100us;1322514
200us;2633628
500us;6497261
1000us;12962999
5000us;64707029
10000us;129387029
100us;1346086
200us;2678668
500us;6587776
1000us;13130999
5000us;65555809
10000us;131067029
100us;1354511
200us;2695497
500us;6665328
1000us;13299029
5000us;66387029
10000us;132747029
100us;1396735
200us;2732248
500us;6772654
1000us;13484239
5000us;67235809
10000us;134427029
100us;1404777
200us;2776099
500us;6878893
1000us;13653126
5000us;68067029
10000us;136107029
100us;1413363
200us;2792928
500us;6941538
1000us;13803849
5000us;68915809
10000us;137787029
100us;1421949
200us;2818170
500us;7012323
1000us;13970999
5000us;69747029
10000us;139467029
100us;1440088
200us;2849399
500us;7092594
1000us;14139014
5000us;70595809
10000us;141147029
100us;1465344
200us;2900156
500us;7170114
1000us;14315795
5000us;71427029
10000us;142827029
100us;1482119
200us;2944007
500us;7259746
1000us;14475091
5000us;72275809
10000us;144507029
100us;1490514
200us;2960836
500us;7337266
1000us;14642999
5000us;73107029
10000us;146187029
100us;1514086
200us;2986078
500us;7427761
1000us;14810999
5000us;73955809
10000us;147867029
100us;1522511
200us;3017399
500us;7505290
1000us;14979029
5000us;74787029
10000us;149547029
100us;1564766
200us;3068156
500us;7604209
1000us;15164239
5000us;75635809
10000us;151227029
100us;1572801
200us;3112001
500us;7683398
1000us;15333124
5000us;76467029
10000us;152907029
100us;1581387
200us;3128830
500us;7763838
1000us;15483845
5000us;77315809
10000us;154587029
100us;1589974
200us;3154072
500us;7841361
1000us;15650999
5000us;78147029
10000us;156267029
100us;1608113
200us;3185399
500us;7931746
1000us;15819014
5000us;78995809
10000us;157947029
100us;1633398
200us;3236187
500us;8009261
1000us;15995795
5000us;79827029
10000us;159627029
100us;1650172
200us;3280042
500us;8099746
1000us;16155091
5000us;80675809
10000us;161307029
100us;1658566
200us;3296871
500us;8177266
1000us;16322999
5000us;81507029
10000us;162987029
100us;1682117
200us;3322141
500us;8267776
1000us;16490999
5000us;82355809
10000us;164667029
100us;1690571
200us;3353429
500us;8345324
1000us;16659029
5000us;83187029
10000us;166347029
100us;1759748
200us;3421575
500us;8452654
1000us;16844239
5000us;84035809
10000us;168027029
100us;1767791
200us;3429612
500us;8558885
1000us;17013109
5000us;84867029
10000us;169707029
100us;1776377
200us;3501079
500us;8621523
1000us;17163810
5000us;85715809
10000us;171387029
100us;1784963
200us;3509115
500us;8692304
1000us;17330999
5000us;86547029
10000us;173067029
100us;1793549
200us;3554960
500us;8772558
1000us;17499014
5000us;87395809
10000us;174747029
100us;1802136
200us;3563327
500us;8850076
1000us;17675795
5000us;88227029
10000us;176427029
100us;1810723
200us;3634505
500us;8939746
1000us;17835091
5000us;89075809
10000us;178107029
100us;1848237
200us;3642542
500us;9017261
1000us;18002999
5000us;89907029
10000us;179787029
100us;1856073
200us;3687775
500us;9107761
1000us;18170999
5000us;90755809
10000us;181467029
100us;1864867
200us;3704601
500us;9185301
1000us;18339029
5000us;91587029
10000us;183147029
100us;1873452
200us;3740974
500us;9284209
1000us;18524239
5000us;92435809
10000us;184827029
100us;1918925
200us;3784832
500us;9363386
1000us;18693128
5000us;93267029
10000us;186507029
100us;1926961
200us;3801660
500us;9443838
1000us;18843849
5000us;94115809
10000us;188187029
100us;1935547
200us;3826903
500us;9521353
1000us;19010999
5000us;94947029
10000us;189867029
100us;1944134
200us;3857399
500us;9611746
1000us;19179014
5000us;95795809
10000us;191547029
100us;1981127
200us;3908156
500us;9689266
1000us;19355795
5000us;96627029
10000us;193227029
100us;1989162
200us;3952001
500us;9779746
1000us;19515091
5000us;97475809
10000us;194907029
100us;1997748
200us;3968830
500us;9857266
1000us;19682999
5000us;98307029
10000us;196587029
100us;2016709
200us;3994072
500us;9947776
1000us;19850999
5000us;99155809
10000us;198267029
100us;2033583
200us;4025399
500us;10025322
1000us;20019029
5000us;99987029
10000us;199947029
100us;2068078
200us;4076172
500us;10132654
1000us;20204239
5000us;100835809
10000us;201627029
100us;2076114
200us;4120021
500us;10238885
1000us;20373112
5000us;101667029
10000us;203307029
100us;2084700
200us;4136848
500us;10301542
1000us;20523814
5000us;102515809
10000us;204987029
100us;2093287
200us;4162104
500us;10372329
1000us;20690999
5000us;103347029
10000us;206667029
100us;2111426
200us;4193414
500us;10452597
1000us;20859014
5000us;104195809
10000us;208347029
100us;2136683
200us;4252621
500us;10530112
1000us;21035795
5000us;105027029
10000us;210027029
100us;2153458
200us;4305585
500us;10619746
1000us;21195091
5000us;105875809
10000us;211707029
100us;2161852
200us;4313622
500us;10697269
1000us;21362999
5000us;106707029
10000us;213387029
100us;2185774
200us;4358667
500us;10787761
1000us;21530999
5000us;107555809
10000us;215067029
100us;2194198
200us;4375497
500us;10865290
1000us;21699029
5000us;108387029
10000us;216747029
100us;2237066
200us;4412248
500us;10964209
1000us;21884239
5000us;109235809
10000us;218427029
100us;2245102
200us;4456099
500us;11043399
1000us;22053126
5000us;110067029
10000us;220107029
100us;2253694
200us;4472928
500us;11123838
1000us;22203849
5000us;110915809
10000us;221787029
100us;2262287
200us;4498170
500us;11201358
1000us;22370999
5000us;111747029
10000us;223467029
100us;2280425
200us;4529399
500us;11291746
1000us;22539014
5000us;112595809
10000us;225147029
100us;2305681
200us;4580156
500us;11369266
1000us;22715795
5000us;113427029
10000us;226827029
100us;2322456
200us;4624001
500us;11459746
1000us;22875091
5000us;114275809
10000us;228507029
100us;2330850
200us;4640830
500us;11537261
1000us;23042999
5000us;115107029
10000us;230187029
100us;2353774
200us;4666072
500us;11627776
1000us;23210999
5000us;115955809
10000us;231867029
100us;2362198
200us;4697399
500us;11705331
1000us;23379029
5000us;116787029
10000us;233547029
100us;2405082
200us;4748156
500us;11812654
1000us;23564239
5000us;117635809
10000us;235227029
100us;2413118
200us;4792011
500us;11918887
1000us;23733124
5000us;118467029
10000us;236907029
100us;2421704
200us;4808839
500us;11981526
1000us;23883845
5000us;119315809
10000us;238587029
100us;2430290
200us;4834081
500us;12052313
1000us;24050999
5000us;120147029
10000us;240267029
100us;2448430
200us;4865399
500us;12132562
1000us;24219014
5000us;120995809
10000us;241947029
100us;2473701
200us;4916187
500us;12210091
1000us;24395795
5000us;121827029
10000us;243627029
100us;2490476
200us;4960032
500us;12299746
1000us;24555091
5000us;122675809
10000us;245307029
100us;2498871
200us;4976861
500us;12377261
1000us;24722999
5000us;123507029
10000us;246987029
100us;2521788
200us;5002134
500us;12467761
1000us;24890999
5000us;124355809
10000us;248667029
100us;2530228
200us;5033429
500us;12545293
1000us;25059029
5000us;125187029
10000us;250347029
100us;2581531
200us;5101575
500us;12644209
1000us;25244239
5000us;126035809
10000us;252027029
100us;2589568
200us;5109612
500us;12723393
1000us;25412662
5000us;126867029
10000us;253707029
100us;2598154
200us;5181077
500us;12803838
1000us;25563092
5000us;127715809
10000us;255387029
100us;2606741
200us;5189114
500us;12881358
1000us;25730999
5000us;128547029
10000us;257067029
100us;2615334
200us;5234968
500us;12971746
1000us;25899014
5000us;129395809
10000us;258747029
100us;2652321
200us;5243341
500us;13049261
1000us;26075795
5000us;130227029
10000us;260427029
100us;2660356
200us;5314509
500us;13139746
1000us;26234999
5000us;131075809
10000us;262107029
100us;2668942
200us;5322546
500us;13217269
1000us;26402999
5000us;131907029
10000us;263787029
100us;2687067
200us;5367801
500us;13307776
1000us;265709950999
5000us;141155809
10000us;282267029
100us;2866198
200us;5705399
500us;14225299
1000us;28419029
5000us;141987029
10000us;283947029
100us;2909066
200us;5756172
500us;14324209
1000us;28604239
5000us;142835809
10000us;285627029
100us;2917108
200us;5800024
500us;14403399
1000us;28772612
5000us;143667029
10000us;287307029
100us;2925694
200us;5816853
500us;14483838
1000us;28923040
5000us;144515809
10000us;288987029
100us;2934281
200us;5842111
500us;14561353
1000us;29090999
5000us;145347029
10000us;290667029
100us;2952422
200us;5873414
500us;14651746
1000us;29259014
5000us;146195809
10000us;292347029
100us;2977678
200us;5932621
500us;14729269
1000us;29435795
5000us;147027029
10000us;294027029
100us;2994453
200us;5985585
500us;14819746
1000us;29594999
5000us;147875809
10000us;295707029
100us;3002848
200us;5993622
500us;14897261
1000us;29762999
5000us;148707029
10000us;297387029
100us;3025774
200us;6038668
500us;14987776
1000us;29930999
5000us;149555809
10000us;299067029
100us;3034198
200us;6055497
500us;15065328
1000us;30099029
5000us;150387029
10000us;300747029
100us;3077066
200us;6092248
500us;15172654
1000us;30284239
5000us;151235809
10000us;302427029
100us;3085102
200us;6136093
500us;15278893
1000us;30452627
5000us;152067029
10000us;304107029
100us;3093688
200us;6152922
500us;15341538
1000us;30603062
5000us;152915809
10000us;305787029
100us;3102275
200us;6178164
500us;15412323
1000us;30770999
5000us;153747029
10000us;307467029
100us;3120415
200us;6209399
500us;15492594
1000us;30939014
5000us;154595809
10000us;309147029
100us;3145672
200us;6260156
500us;15570114
1000us;31115795
