=== SERIES 1 ===
100us;891284
200us;908077
500us;958527
1000us;1042518
5000us;1714560
10000us;2554567
100us;909304
200us;941704
500us;1043497
1000us;1210511
5000us;2555623
10000us;4234567
100us;924864
200us;975279
500us;1126511
1000us;1378511
5000us;3394560
10000us;5914567
100us;942660
200us;1008918
500us;1211490
1000us;1546536
5000us;4235623
10000us;7594567
100us;959477
200us;1044390
500us;1294511
1000us;1715562
5000us;5074560
10000us;9274567
100us;976506
200us;1076068
500us;1379490
1000us;1882511
5000us;5915623
10000us;10954567
100us;992066
200us;1109707
500us;1462511
1000us;2050511
5000us;6754560
10000us;12634567
100us;1010145
200us;1143261
500us;1547515
1000us;2218511
5000us;7595623
10000us;14314567
100us;1025714
200us;1176911
500us;1630536
1000us;2386561
5000us;8434560
10000us;15994567
100us;1045626
200us;1212383
500us;1716483
1000us;2556566
5000us;9275623
10000us;17674567
100us;1059266
200us;1244061
500us;1798511
1000us;2722536
5000us;10114560
10000us;19354566
100us;1077295
200us;1277686
500us;1883490
1000us;2890511
5000us;10955623
10000us;21034566
100us;1092864
200us;1311261
500us;1966511
1000us;3058511
5000us;11794560
10000us;22714566
100us;1110669
200us;1344911
500us;2051490
1000us;3226536
5000us;12635623
10000us;24394566
100us;1127461
200us;1380383
500us;2134511
1000us;3395562
5000us;13474560
10000us;26074566
100us;1144488
200us;1412061
500us;2219490
1000us;3562511
5000us;14315623
10000us;27754566
100us;1160055
200us;1445686
500us;2302511
1000us;3730511
5000us;15154560
10000us;29434566
100us;1178138
200us;1479261
500us;2387540
1000us;3898511
5000us;15995623
10000us;31114566
100us;1193705
200us;1512911
500us;2470561
1000us;4066561
5000us;16834560
10000us;32794566
100us;1213619
200us;1548408
500us;2557469
1000us;4236566
5000us;17675623
10000us;34474566
100us;1227255
200us;1580061
500us;2638511
1000us;4402536
5000us;18514559
10000us;36154566
100us;1245288
200us;1613686
500us;2723540
1000us;4570511
5000us;19355622
10000us;37834566
100us;1260855
200us;1647261
500us;2806528
1000us;4738511
5000us;20194559
10000us;39514566
100us;1278642
200us;1680936
500us;2891490
1000us;4906536
5000us;21035622
10000us;41194566
100us;1295461
200us;1717362
500us;2974511
1000us;5075562
5000us;21874559
10000us;42874566
100us;1312488
200us;1748061
500us;3059490
1000us;5242511
5000us;22715622
10000us;44554566
100us;1328055
200us;1781686
500us;3142511
1000us;5410511
5000us;23554559
10000us;46234566
100us;1346138
200us;1815261
500us;3227515
1000us;5578511
5000us;24395622
10000us;47914566
100us;1361705
200us;1848911
500us;3310536
1000us;5746561
5000us;25234559
10000us;49594566
100us;1381619
200us;1884383
500us;3396483
1000us;5916566
5000us;26075622
10000us;51274566
100us;1395255
200us;1916061
500us;3478511
1000us;6082536
5000us;26914559
10000us;52954566
100us;1413288
200us;1949686
500us;3563490
1000us;6250511
5000us;27755622
10000us;54634566
100us;1428855
200us;1983261
500us;3646511
1000us;6418511
5000us;28594559
10000us;56314566
100us;1446642
200us;2016911
500us;3731490
1000us;6586536
5000us;29435622
10000us;57994566
100us;1463461
200us;2052383
500us;3814511
1000us;6755562
5000us;30274559
10000us;59674566
100us;1480488
200us;2084061
500us;3899490
1000us;6922511
5000us;31115622
10000us;61354566
100us;1496055
200us;2117686
500us;3982511
1000us;7090511
5000us;31954559
10000us;63034566
100us;1514138
200us;2151261
500us;4067540
1000us;7258511
5000us;32795622
10000us;64714566
100us;1529705
200us;2184911
500us;4150561
1000us;7426561
5000us;33634559
10000us;66394566
100us;1549644
200us;2220383
500us;4237469
1000us;7596566
5000us;34475622
10000us;68074566
100us;1563255
200us;2252061
500us;4318511
1000us;7762536
5000us;35314559
10000us;69754566
100us;1581288
200us;2285686
500us;4403540
1000us;7930511
5000us;36155622
10000us;71434566
100us;1596855
200us;2319261
500us;4486528
1000us;8098511
5000us;36994559
10000us;73114566
100us;1614642
200us;2352911
500us;4571490
1000us;8266536
5000us;37835622
10000us;74794566
100us;1631486
200us;2388433
500us;4654511
1000us;8435562
5000us;38674559
10000us;76474566
100us;1648488
200us;2420061
500us;4739490
1000us;8602511
5000us;39515622
10000us;78154566
100us;1664055
200us;2453686
500us;4822511
1000us;8770511
5000us;40354559
10000us;79834566
100us;1682163
200us;2487261
500us;4907515
1000us;8938511
5000us;41195622
10000us;81514566
100us;1697730
200us;2520961
500us;4990536
1000us;9106561
5000us;42034559
10000us;83194566
100us;1718598
200us;2558348
500us;5076483
1000us;9276566
5000us;42875622
10000us;84874566
100us;1731255
200us;2588061
500us;5158511
1000us;9442536
5000us;43714559
10000us;86554566
100us;1749288
200us;2621686
500us;5243490
1000us;9610511
5000us;44555622
10000us;88234566
100us;1764855
200us;2655261
500us;5326511
1000us;9778511
5000us;45394559
10000us;89914566
100us;1782642
200us;2688911
500us;5411490
1000us;9946536
5000us;46235622
10000us;91594566
100us;1799461
200us;2724433
500us;5494511
1000us;10115562
5000us;47074559
10000us;93274566
100us;1816488
200us;2756086
500us;5579490
1000us;10282511
5000us;47915622
10000us;94954566
100us;1832055
200us;2790603
500us;5662511
1000us;10450511
5000us;48754559
10000us;96634566
100us;1850138
200us;2823261
500us;5747540
1000us;10618511
5000us;49595622
10000us;98314566
100us;1865705
200us;2856911
500us;5830561
1000us;10786561
5000us;50434559
10000us;99994566
100us;1885619
200us;2892383
500us;5917469
1000us;10956566
5000us;51275622
10000us;101674566
100us;1899255
200us;2924061
500us;5998511
1000us;11122536
5000us;52114559
10000us;103354566
100us;1917288
200us;2957686
500us;6083540
1000us;11290511
5000us;52955622
10000us;105034566
100us;1932855
200us;2991261
500us;6167428
1000us;11458511
5000us;53794559
10000us;106714566
100us;1950642
200us;3024911
500us;6251490
1000us;11626536
5000us;54635622
10000us;108394566
100us;1967461
200us;3060383
500us;6334511
1000us;11795562
5000us;55474559
10000us;110074566
100us;1984488
200us;3092061
500us;6419490
1000us;11962511
5000us;56315622
10000us;111754566
100us;2000055
200us;3125686
500us;6502511
1000us;12130511
5000us;57154559
10000us;113434566
100us;2018138
200us;3159261
500us;6587515
1000us;12298511
5000us;57995622
10000us;115114566
100us;2033705
200us;3192911
500us;6670536
1000us;12466561
5000us;58834559
10000us;116794566
100us;2053619
200us;3228408
500us;6756483
1000us;12636566
5000us;59675622
10000us;118474566
100us;2067255
200us;3260061
500us;6838511
1000us;12802536
5000us;60514559
10000us;120154566
100us;2085288
200us;3293686
500us;6923490
1000us;12970511
5000us;61355622
10000us;121834566
100us;2100855
200us;3327261
500us;7006511
1000us;13138511
5000us;62194559
10000us;123514566
100us;2118642
200us;3360936
500us;7091490
1000us;13306536
5000us;63035622
10000us;125194566
100us;2135461
200us;3397362
500us;7174511
1000us;13475562
5000us;63874559
10000us;126874566
100us;2152488
200us;3428061
500us;7259490
1000us;13642511
5000us;64715622
10000us;128554566
100us;2168055
200us;3461686
500us;7342511
1000us;13810511
5000us;65554559
10000us;130234566
100us;2186138
200us;3495261
500us;7427540
1000us;13978511
5000us;66395622
10000us;131914566
100us;2201705
200us;3528911
500us;7510561
1000us;14146561
5000us;67234559
10000us;133594566
100us;2221619
200us;3564383
500us;7597469
1000us;14316566
5000us;68075622
10000us;135274566
100us;2235255
200us;3596061
500us;7678511
1000us;14482536
5000us;68914559
10000us;136954566
100us;2253288
200us;3629686
500us;7763515
1000us;14650511
5000us;69755622
10000us;138634566
100us;2268855
200us;3663261
500us;7846536
1000us;14818511
5000us;70594559
10000us;140314566
100us;2286642
200us;3696911
500us;7931490
1000us;14986536
5000us;71435622
10000us;141994566
100us;2303461
200us;3732383
500us;8014511
1000us;15155562
5000us;72274559
10000us;143674566
100us;2320488
200us;3764061
500us;8099490
1000us;15322511
5000us;73115622
10000us;145354566
100us;2336055
200us;3797686
500us;8182511
1000us;15490511
5000us;73954559
10000us;147034566
100us;2354138
200us;3831261
500us;8267515
1000us;15658511
5000us;74795622
10000us;148714566
100us;2369705
200us;3864911
500us;8350536
1000us;15826561
5000us;75634559
