=== SERIES 1 ===
100us;891325
200us;908099
500us;958554
1000us;1042554
5000us;1714586
10000us;2554592
100us;909375
200us;941729
500us;1043558
1000us;1210536
5000us;2555675
10000us;4234592
100us;924887
200us;975299
500us;1126536
1000us;1378536
5000us;3394586
10000us;5914592
100us;942708
200us;1008949
500us;1211540
1000us;1546561
5000us;4235675
10000us;7594592
100us;959533
200us;1044506
500us;1294536
1000us;1715615
5000us;5074586
10000us;9274592
100us;976575
200us;1076100
500us;1379540
1000us;1882536
5000us;5915675
10000us;10954592
100us;992093
200us;1109746
500us;1462536
1000us;2050536
5000us;6754586
10000us;12634592
100us;1010225
200us;1143286
500us;1547565
1000us;2218536
5000us;7595675
10000us;14314592
100us;1025737
200us;1176936
500us;1630561
1000us;2386586
5000us;8434586
10000us;15994592
100us;1045751
200us;1212488
500us;1716588
1000us;2556673
5000us;9275675
10000us;17674592
100us;1059297
200us;1244086
500us;1798536
1000us;2722561
5000us;10114586
10000us;19354592
100us;1077376
200us;1277711
500us;1883540
1000us;2890536
5000us;10955675
10000us;21034592
100us;1092889
200us;1311286
500us;1966536
1000us;3058536
5000us;11794586
10000us;22714592
100us;1110725
200us;1344936
500us;2051540
1000us;3226561
5000us;12635675
10000us;24394592
100us;1127515
200us;1380488
500us;2134536
1000us;3395615
5000us;13474586
10000us;26074592
100us;1144562
200us;1412086
500us;2219540
1000us;3562536
5000us;14315675
10000us;27754592
100us;1160081
200us;1445711
500us;2302536
1000us;3730536
5000us;15154586
10000us;29434592
100us;1178212
200us;1479286
500us;2387590
1000us;3898536
5000us;15995675
10000us;31114592
100us;1193731
200us;1512936
500us;2470586
1000us;4066586
5000us;16834586
10000us;32794592
100us;1213733
200us;1548513
500us;2557646
1000us;4236673
5000us;17675675
10000us;34474592
100us;1227281
200us;1580086
500us;2638536
1000us;4402561
5000us;18514586
10000us;36154592
100us;1245362
200us;1613711
500us;2723590
1000us;4570536
5000us;19355675
10000us;37834592
100us;1260881
200us;1647286
500us;2806566
1000us;4738536
5000us;20194586
10000us;39514592
100us;1278690
200us;1680961
500us;2891540
1000us;4906561
5000us;21035675
10000us;41194592
100us;1295515
200us;1717536
500us;2974536
1000us;5075615
5000us;21874586
10000us;42874592
100us;1312562
200us;1748086
500us;3059540
1000us;5242536
5000us;22715675
10000us;44554590
100us;1328081
200us;1781711
500us;3142536
1000us;5410536
5000us;23554586
10000us;46234590
100us;1346212
200us;1815286
500us;3227565
1000us;5578536
5000us;24395675
10000us;47914590
100us;1361731
200us;1848936
500us;3310561
1000us;5746586
5000us;25234586
10000us;49594590
100us;1381733
200us;1884488
500us;3396588
1000us;5916673
5000us;26075675
10000us;51274590
100us;1395281
200us;1916086
500us;3478536
1000us;6082561
5000us;26914586
10000us;52954590
100us;1413362
200us;1949711
500us;3563540
1000us;6250536
5000us;27755675
10000us;54634590
100us;1428881
200us;1983286
500us;3646536
1000us;6418536
5000us;28594586
10000us;56314590
100us;1446690
200us;2016936
500us;3731540
1000us;6586561
5000us;29435675
10000us;57994590
100us;1463515
200us;2052488
500us;3814536
1000us;6755615
5000us;30274586
10000us;59674590
100us;1480562
200us;2084086
500us;3899540
1000us;6922536
5000us;31115675
