Target_us;measured_time_us;Jitter_us
2000.0;990.976;1009.024
5000.0;2938.624;2061.376
10000.0;5008.896;4991.104
100000.0;90081.28;9918.720000000001
1000.0;-98039.296;99039.296
2000.0;1940.224;59.77600000000007
5000.0;6017.792;1017.7920000000004
10000.0;10039.04;39.04000000000087
100000.0;180009.472;80009.47200000001
1000.0;-196999.936;197999.936
2000.0;2942.464;942.4639999999999
5000.0;9068.544;4068.544
10000.0;14968.576;4968.575999999999
100000.0;269933.312;169933.31199999998
1000.0;-295979.776;296979.776
2000.0;3998.976;1998.976
5000.0;12044.032;7044.031999999999
10000.0;19979.264;9979.264
100000.0;359952.64;259952.64
1000.0;-394978.048;395978.048
2000.0;5006.848;3006.848
5000.0;15067.648;10067.648
10000.0;25009.664;15009.664
100000.0;449895.68;349895.68
1000.0;-493979.136;494979.136
2000.0;6016.768;4016.768
5000.0;18058.496;13058.496
10000.0;30046.72;20046.72
100000.0;540901.632;440901.632
1000.0;-594023.424;595023.424
2000.0;7004.928;5004.928
5000.0;21061.888;16061.887999999999
10000.0;35025.664;25025.663999999997
100000.0;630929.664;530929.664
1000.0;-693022.72;694022.72
2000.0;8066.56;6066.56
5000.0;23998.72;18998.72
10000.0;40022.272;30022.271999999997
100000.0;721958.4;621958.4
1000.0;-793049.344;794049.344
2000.0;9078.784;7078.784
5000.0;26996.48;21996.48
10000.0;45024.768;35024.768
100000.0;811926.528;711926.528
1000.0;-892016.64;893016.64
2000.0;10061.568;8061.567999999999
5000.0;30015.744;25015.744
10000.0;50006.784;40006.784
100000.0;901984.512;801984.512
1000.0;-991072.256;992072.256
2000.0;11077.888;9077.888
5000.0;32973.056;27973.055999999997
10000.0;55031.04;45031.04
100000.0;991964.416;891964.416
1000.0;-1090046.72;1091046.72
2000.0;12105.984;10105.984
5000.0;36014.336;31014.336000000003
10000.0;59968.512;49968.512
100000.0;1082021.376;982021.3759999999
1000.0;-1189115.648;1190115.648
2000.0;13071.872;11071.872
5000.0;38996.48;33996.48
10000.0;65017.088;55017.088
100000.0;1171975.68;1071975.68
1000.0;-1288064.256;1289064.256
2000.0;14075.136;12075.136
5000.0;42023.936;37023.936
10000.0;69992.448;59992.448000000004
100000.0;1261971.968;1161971.968
1000.0;-1386994.688;1387994.688
2000.0;15015.424;13015.424
5000.0;44987.392;39987.392
10000.0;75013.12;65013.119999999995
100000.0;1351965.952;1251965.952
1000.0;-1485971.968;1486971.968
2000.0;15997.44;13997.44
5000.0;48017.664;43017.664
10000.0;80004.352;70004.352
100000.0;1441920.768;1341920.768
1000.0;-1584943.616;1585943.616
2000.0;16999.168;14999.168000000001
5000.0;51005.696;46005.696
10000.0;85018.368;75018.368
100000.0;1532025.856;1432025.856
1000.0;-1684054.272;1685054.272
2000.0;17999.104;15999.104
5000.0;54024.192;49024.192
10000.0;90001.92;80001.92
100000.0;1621987.328;1521987.328
1000.0;-1783020.032;1784020.032
2000.0;19078.912;17078.912
5000.0;56935.424;51935.424
10000.0;95020.288;85020.288
100000.0;1711952.128;1611952.128
1000.0;-1881988.608;1882988.608
2000.0;20003.84;18003.84
5000.0;60032.512;55032.512
10000.0;99968.0;89968.0
100000.0;1802045.44;1702045.44
1000.0;-1981037.312;1982037.312
2000.0;21003.264;19003.264
5000.0;63006.464;58006.464
10000.0;105006.08;95006.08
100000.0;1891968.256;1791968.256
1000.0;-2079988.736;2080988.736
2000.0;22016.0;20016.0
5000.0;66006.528;61006.528000000006
10000.0;110001.92;100001.92
100000.0;1981966.592;1881966.592
1000.0;-2178999.04;2179999.04
2000.0;23019.008;21019.008
5000.0;68995.84;63995.84
10000.0;115030.784;105030.784
100000.0;2071937.28;1971937.28
1000.0;-2277925.632;2278925.632
2000.0;23962.112;21962.112
5000.0;72017.408;67017.408
10000.0;120025.088;110025.088
100000.0;2161896.704;2061896.704
1000.0;-2376951.808;2377951.808
2000.0;25022.464;23022.464
5000.0;74988.032;69988.032
10000.0;124992.768;114992.768
100000.0;2251989.76;2151989.76
1000.0;-2476002.048;2477002.048
2000.0;26014.72;24014.72
5000.0;78011.648;73011.648
10000.0;129968.384;119968.384
100000.0;2342022.144;2242022.144
1000.0;-2575015.424;2576015.424
2000.0;27031.04;25031.04
5000.0;80960.0;75960.0
10000.0;135010.304;125010.304
100000.0;2432046.592;2332046.592
1000.0;-2674047.744;2675047.744
2000.0;28000.768;26000.768
5000.0;84016.384;79016.384
10000.0;139962.112;129962.112
100000.0;2522020.864;2422020.864
1000.0;-2773000.96;2774000.96
2000.0;29024.512;27024.512
5000.0;87005.696;82005.696
10000.0;144943.616;134943.616
100000.0;2612073.728;2512073.728
1000.0;-2872045.568;2873045.568
2000.0;30053.888;28053.888
5000.0;89965.824;84965.824
10000.0;149944.576;139944.576
100000.0;2703015.424;2603015.424
1000.0;-2971974.912;2972974.912
2000.0;31007.744;29007.744
5000.0;93003.264;88003.264
10000.0;154949.632;144949.632
100000.0;2793092.352;2693092.352
1000.0;-3071060.224;3072060.224
2000.0;32015.36;30015.36
5000.0;96023.808;91023.808
10000.0;159926.272;149926.272
100000.0;2883043.072;2783043.072
1000.0;-3170007.808;3171007.808
2000.0;33014.272;31014.271999999997
5000.0;99000.832;94000.832
10000.0;164949.504;154949.504
100000.0;2973074.432;2873074.432
1000.0;-3269039.616;3270039.616
2000.0;34008.576;32008.576
5000.0;102034.432;97034.432
10000.0;169923.328;159923.328
100000.0;3063079.68;2963079.68
1000.0;-3368047.104;3369047.104
2000.0;35041.28;33041.28
5000.0;104975.104;99975.104
10000.0;174952.96;164952.96
100000.0;3153072.128;3053072.128
1000.0;-3467042.048;3468042.048
2000.0;36017.408;34017.408
5000.0;108023.808;103023.808
10000.0;179931.136;169931.136
100000.0;3243067.392;3143067.392
1000.0;-3565981.952;3566981.952
2000.0;36962.816;34962.816
5000.0;111001.344;106001.344
10000.0;184946.688;174946.688
100000.0;3333070.08;3233070.08
1000.0;-3664797.184;3665797.184
2000.0;37775.616;35775.616
5000.0;114022.912;109022.912
10000.0;189932.032;179932.032
100000.0;3423019.776;3323019.776
1000.0;-3763950.336;3764950.336
2000.0;38976.0;36976.0
5000.0;117005.312;112005.312
10000.0;194949.12;184949.12
100000.0;3513078.528;3413078.528
1000.0;-3863052.544;3864052.544
2000.0;40037.632;38037.632
5000.0;119991.296;114991.296
10000.0;199941.12;189941.12
100000.0;3603071.232;3503071.232
1000.0;-3962044.928;3963044.928
2000.0;41031.168;39031.168
5000.0;122977.28;117977.28
10000.0;204966.656;194966.656
100000.0;3693013.248;3593013.248
1000.0;-4060969.472;4061969.472
2000.0;42006.272;40006.272
5000.0;126010.88;121010.88
10000.0;209940.48;199940.48
100000.0;3783080.96;3683080.96
1000.0;-4160050.432;4161050.432
2000.0;43015.936;41015.936
5000.0;129019.648;124019.648
10000.0;214929.152;204929.152
100000.0;3873021.952;3773021.952
1000.0;-4258968.576;4259968.576
2000.0;44001.024;42001.024
5000.0;132013.568;127013.568
10000.0;219904.0;209904.0
100000.0;3963050.24;3863050.24
1000.0;-4357963.008;4358963.008
2000.0;45010.176;43010.176
5000.0;134988.288;129988.288
10000.0;224946.432;214946.432
100000.0;4053080.064;3953080.064
1000.0;-4457039.36;4458039.36
2000.0;46007.808;44007.808
5000.0;138008.832;133008.832
10000.0;229942.016;219942.016
100000.0;4143083.008;4043083.008
1000.0;-4556037.12;4557037.12
2000.0;47002.624;45002.624
5000.0;141000.96;136000.96
10000.0;234952.96;224952.96
100000.0;4233081.088;4133081.0880000005
1000.0;-4655036.416;4656036.416
2000.0;47998.208;45998.208
5000.0;144059.136;139059.136
10000.0;239895.552;229895.552
100000.0;4323013.888;4223013.888
1000.0;-4753977.344;4754977.344
2000.0;49008.896;47008.896
5000.0;147005.952;142005.952
10000.0;244941.568;234941.568
100000.0;4413043.968;4313043.968
1000.0;-4853004.544;4854004.544
2000.0;50034.432;48034.432
5000.0;149966.848;144966.848
10000.0;249966.336;239966.336
100000.0;4503081.472;4403081.472
1000.0;-4952030.464;4953030.464
2000.0;50996.992;48996.992
5000.0;152968.192;147968.192
10000.0;254942.208;244942.208
100000.0;4593119.744;4493119.744
1000.0;-5051045.376;5052045.376
2000.0;52015.104;50015.104
5000.0;156016.384;151016.384
10000.0;259920.384;249920.384
100000.0;4683097.344;4583097.344
1000.0;-5150049.792;5151049.792
2000.0;53012.992;51012.992
5000.0;159006.208;154006.208
10000.0;264912.384;254912.38400000002
100000.0;4773117.952;4673117.952
1000.0;-5249017.088;5250017.088
2000.0;53980.416;51980.416
5000.0;161986.304;156986.304
10000.0;270767.36;260767.36
100000.0;4862285.824;4762285.824
1000.0;-5348052.736;5349052.736
2000.0;54984.96;52984.96
5000.0;164997.12;159997.12
10000.0;275944.192;265944.192
100000.0;4952112.896;4852112.896
1000.0;-5447045.12;5448045.12
2000.0;56020.992;54020.992
5000.0;167964.928;162964.928
10000.0;280949.248;270949.248
100000.0;5042109.696;4942109.696
1000.0;-5546028.544;5547028.544
2000.0;57005.312;55005.312
5000.0;170953.216;165953.216
10000.0;285960.448;275960.448
100000.0;5132122.368;5032122.368
1000.0;-5645037.568;5646037.568
2000.0;58001.92;56001.92
5000.0;173956.864;168956.864
10000.0;290950.912;280950.912
100000.0;5222126.336;5122126.336
1000.0;-5744043.264;5745043.264
2000.0;59010.304;57010.304
5000.0;176942.848;171942.848
10000.0;295969.28;285969.28
100000.0;5312049.152;5212049.152
1000.0;-5842957.056;5843957.056
2000.0;60016.128;58016.128
5000.0;179929.088;174929.088
10000.0;300958.976;290958.976
100000.0;5402105.6;5302105.6
1000.0;-5942021.376;5943021.376
2000.0;61005.824;59005.824
5000.0;182939.392;177939.392
10000.0;305968.64;295968.64
100000.0;5492114.944;5392114.944
1000.0;-6041033.472;6042033.472
2000.0;62011.648;60011.648
5000.0;185950.464;180950.464
10000.0;310985.472;300985.472
100000.0;5582096.128;5482096.128
1000.0;-6140044.032;6141044.032
2000.0;63020.288;61020.288
5000.0;188933.376;183933.376
10000.0;316004.864;306004.864
100000.0;5672082.688;5572082.688
1000.0;-6239041.024;6240041.024
2000.0;64016.384;62016.384
5000.0;191943.68;186943.68
10000.0;321485.312;311485.312
100000.0;5761601.28;5661601.28
1000.0;-6338046.208;6339046.208
2000.0;65019.904;63019.904
5000.0;194928.128;189928.128
10000.0;326013.184;316013.184
100000.0;5852074.24;5752074.24
1000.0;-6437035.776;6438035.776
2000.0;66013.44;64013.44
5000.0;197946.112;192946.112
10000.0;330999.552;320999.552
100000.0;5942083.84;5842083.84
1000.0;-6536044.032;6537044.032
2000.0;67019.776;65019.776
5000.0;200937.728;195937.728
10000.0;336000.512;326000.512
100000.0;6032008.448;5932008.448
1000.0;-6634971.904;6635971.904
2000.0;68027.904;66027.904
5000.0;203940.352;198940.352
10000.0;340993.536;330993.536
100000.0;6122040.832;6022040.832
1000.0;-6733999.616;6734999.616
2000.0;69021.952;67021.952
5000.0;206939.392;201939.392
10000.0;346005.76;336005.76
100000.0;6212079.36;6112079.36
1000.0;-6833039.616;6834039.616
2000.0;70007.808;68007.808
5000.0;209952.0;204952.0
10000.0;350998.528;340998.528
100000.0;6302082.56;6202082.56
1000.0;-6932044.544;6933044.544
2000.0;71054.08;69054.08
5000.0;212899.84;207899.84
10000.0;355971.328;345971.328
100000.0;6392047.104;6292047.104
1000.0;-7030971.392;7031971.392
2000.0;72010.496;70010.496
5000.0;215954.688;210954.688
10000.0;361966.592;351966.592
100000.0;6481112.832;6381112.832
1000.0;-7130002.176;7131002.176
2000.0;72955.648;70955.648
5000.0;218952.96;213952.96
10000.0;366977.792;356977.792
100000.0;6571105.792;6471105.792
1000.0;-7229036.032;7230036.032
2000.0;74025.216;72025.216
5000.0;221926.912;216926.912
10000.0;371975.936;361975.936
100000.0;6661112.064;6561112.064
1000.0;-7328041.728;7329041.728
2000.0;75019.52;73019.52
5000.0;224929.536;219929.536
10000.0;376980.48;366980.48
100000.0;6751057.152;6651057.152
1000.0;-7426987.776;7427987.776
2000.0;76013.056;74013.056
5000.0;227957.248;222957.248
10000.0;381997.056;371997.056
100000.0;6841069.824;6741069.824
1000.0;-7526037.504;7527037.504
2000.0;77073.408;75073.408
5000.0;230884.352;225884.352
10000.0;387048.448;377048.448
100000.0;6931032.064;6831032.064
1000.0;-7625037.568;7626037.568
2000.0;78010.88;76010.88
5000.0;233958.656;228958.656
10000.0;392050.432;382050.432
100000.0;7020984.32;6920984.32
1000.0;-7724004.608;7725004.608
2000.0;79013.888;77013.888
5000.0;236942.848;231942.848
10000.0;397068.544;387068.544
100000.0;7111024.896;7011024.896
1000.0;-7823050.496;7824050.496
2000.0;80034.816;78034.816
5000.0;239919.36;234919.36
10000.0;402073.6;392073.6
100000.0;7201020.928;7101020.928
1000.0;-7922038.528;7923038.528
2000.0;81000.96;79000.96
5000.0;242947.84;237947.84
10000.0;407028.736;397028.736
100000.0;7291059.968;7191059.968
1000.0;-8021043.456;8022043.456
2000.0;82005.248;80005.248
5000.0;245957.12;240957.12
