Target_us;measured_time_us;Jitter_us
2000.0;1149.696;850.3040000000001
5000.0;3289.088;1710.9119999999998
10000.0;11073.024;1073.0239999999994
100000.0;80726.528;19273.471999999994
1000.0;-87813.632;88813.632
2000.0;1556.224;443.77600000000007
5000.0;2422.016;2577.984
10000.0;7702.528;2297.4719999999998
100000.0;176041.472;76041.47200000001
1000.0;-181116.416;182116.416
2000.0;1392.128;607.8720000000001
5000.0;1225.984;3774.016
10000.0;16901.12;6901.119999999999
100000.0;261612.032;161612.032
1000.0;-276550.912;277550.912
2000.0;1109.76;890.24
5000.0;1233.92;3766.08
10000.0;14948.096;4948.096
100000.0;359256.576;259256.576
1000.0;-372837.376;373837.376
2000.0;1032.704;967.296
5000.0;955.392;4044.608
10000.0;21049.088;11049.088
100000.0;450750.208;350750.208
1000.0;-470477.056;471477.056
2000.0;916.736;1083.2640000000001
5000.0;760.576;4239.424
10000.0;27834.88;17834.88
100000.0;539946.24;439946.24
1000.0;-566640.128;567640.128
2000.0;908.032;1091.9679999999998
5000.0;1782.016;3217.984
10000.0;33906.432;23906.432
100000.0;630211.584;530211.584
1000.0;-664141.056;665141.056
2000.0;775.936;1224.0639999999999
5000.0;3903.744;1096.2559999999999
10000.0;39298.816;29298.816
100000.0;719988.992;619988.992
1000.0;-761591.296;762591.296
2000.0;933.888;1066.112
5000.0;6336.768;1336.768
10000.0;44278.528;34278.528
100000.0;810060.032;710060.032
1000.0;-859250.688;860250.688
2000.0;919.04;1080.96
5000.0;8580.608;3580.608
10000.0;49736.96;39736.96
100000.0;899969.792;799969.792
1000.0;-957125.888;958125.888
2000.0;1065.472;934.528
5000.0;11139.072;6139.072
10000.0;54923.264;44923.264
100000.0;989981.44;889981.44
1000.0;-1055021.568;1056021.568
2000.0;999.168;1000.832
5000.0;14130.944;9130.944
10000.0;59949.824;49949.824
100000.0;1080036.864;980036.8640000001
1000.0;-1153226.752;1154226.752
2000.0;952.576;1047.424
5000.0;17189.12;12189.119999999999
10000.0;65029.888;55029.888
100000.0;1170129.92;1070129.92
1000.0;-1251451.904;1252451.904
2000.0;967.424;1032.576
5000.0;20310.784;15310.784
10000.0;70263.552;60263.551999999996
100000.0;1259757.056;1159757.056
1000.0;-1349434.88;1350434.88
2000.0;846.08;1153.92
5000.0;23584.0;18584.0
10000.0;75035.392;65035.39200000001
100000.0;1349998.592;1249998.592
1000.0;-1447797.76;1448797.76
2000.0;841.984;1158.016
5000.0;26989.568;21989.568
10000.0;79903.488;69903.488
100000.0;1440079.36;1340079.36
1000.0;-1546150.912;1547150.912
2000.0;957.184;1042.816
5000.0;30112.768;25112.768
10000.0;85025.536;75025.536
100000.0;1534098.432;1434098.432
1000.0;-1648541.44;1649541.44
2000.0;1039.872;960.1279999999999
5000.0;33452.544;28452.544
10000.0;89914.88;79914.88
100000.0;1624134.144;1524134.144
1000.0;-1746817.28;1747817.28
2000.0;1049.344;950.656
5000.0;36608.768;31608.767999999996
