OS,Load,Target_us,Min,Q1,Mediana,Q3,Mean,P90,P95,P99,P99_9,Max,Std,Count
Windows,Idle,1000.0,0.1,2.9,12.1,79.6,77.178,127.3,139.2,998.6,1147.992,17286.3,278.73,39997
Windows,Idle,2000.0,0.1,5.8,19.9,103.4,111.277,252.24,856.92,1009.408,1999.1,16284.3,329.418,39997
Windows,Idle,5000.0,0.1,13.7,48.5,180.6,186.3,518.6,765.0,1023.948,5256.489,20601.3,517.624,39997
Windows,Idle,10000.0,0.1,20.7,132.0,473.5,295.218,618.4,772.72,1101.424,9999.0,25202.9,720.178,39997
Windows,Idle,100000.0,0.1,115.225,331.8,515.9,388.143,676.99,796.815,1317.594,11319.802,25436.7,723.068,39998
Windows,Stress,1000.0,0.1,419.475,891.4,1512.325,1047.068,2163.2,2518.575,3159.16,8165.755,70792.3,1112.419,39996
Windows,Stress,2000.0,0.1,209.6,472.4,833.925,595.923,1206.4,1565.15,2172.82,6577.152,77801.2,1024.944,39996
Windows,Stress,5000.0,0.1,2.4,10.4,40.7,247.126,991.0,1006.2,2895.832,10332.289,79452.2,1035.087,39997
Windows,Stress,10000.0,0.1,3.9,17.6,54.425,273.106,989.0,1003.4,2743.81,12710.785,95642.5,1206.068,39996
Windows,Stress,100000.0,0.1,7.7,24.6,51.9,223.584,352.93,998.615,3811.533,15663.617,49810.6,1058.499,39998
